theta_11,theta_12,theta_21,theta_22,classical_max_angle,quantum_max_angle,classical_max_value,quantum_max_value
0.0,0.0,0.75,2.0,138.41290213894072,114.59155902616465,2.4157608695652173,2.0
0.0,0.0,0.75,2.25,135.41433074735428,114.59155902616465,2.363425925925926,2.0
0.75,2.25,2.25,3.0,153.92009898128333,139.72751716024436,2.686412512218964,2.438705230083141
1.5,3.0,0.0,0.0,121.75353146529994,114.59155902616465,2.125,2.0
1.5,3.0,0.0,0.75,128.50624833648465,151.98684937038593,2.242857142857143,2.652670941245905
2.0,3.0,2.25,0.0,143.20413404270943,152.80569365031522,2.499383641512577,2.6669624699917933
2.0,3.0,2.25,0.75,148.76067844487554,133.3599286224442,2.596363636363636,2.327569844686277
1.5,2.25,3.0,0.0,150.11948882394378,114.59155902616465,2.6200793513886493,2.0
1.5,2.25,3.0,0.75,121.1857024483864,114.59155902616465,2.1150895140664963,2.0
0.75,3.0,0.75,2.0,142.18468556894223,127.53415913355428,2.481590909090909,2.2258909856429208
0.75,3.0,0.75,2.25,141.4972260200823,132.65523096564314,2.469592476489028,2.31527055034401
2.0,1.5,0.75,3.0,158.47314385181136,114.59155902616465,2.7658781362007168,2.0
